,394.82,419.632,470.587,483.663,494.417,522.006,556.364,675.851,680.352,quality_Medium
168,97.4428,98.6355,99.9962,100.669,100.664,100.576,100.528,100.847,100.91,0
169,57.0485,75.1977,92.3887,94.6591,96.1933,97.3336,98.2775,100.204,99.9292,0
170,90.0802,99.319,102.319,102.321,102.365,102.047,101.9,101.951,101.9,1
171,87.1285,95.7849,98.947,99.368,99.7724,100.05,99.7749,99.6199,99.7736,0
172,62.7594,80.1436,93.8937,95.2889,96.6337,97.2903,97.662,98.807,98.7887,0
173,94.4341,96.3043,97.7126,97.8745,98.1234,98.1633,97.9227,98.314,98.3299,0
174,72.6687,87.832,98.6888,99.5663,100.522,101.24,100.838,102.455,102.229,0
175,94.1001,98.4046,101.517,102.336,102.356,102.875,102.124,102.352,102.125,0
176,88.3818,98.2517,103.631,103.855,104.171,104.169,104.265,104.214,104.3,1
177,73.1811,93.7524,104.748,104.937,105.353,105.116,105.065,104.98,105.03,0
178,69.7791,86.4496,96.0332,97.1093,98.3349,99.5672,99.7579,100.265,100.28,0
179,92.1608,100.723,102.621,102.444,102.098,102.38,102.46,102.347,102.37,0
180,74.5903,91.5332,99.5311,100.226,100.766,101.137,101.258,101.639,101.583,0
181,55.9775,79.6671,94.2736,96.3416,98.344,100.017,100.456,101.374,101.292,0
182,71.3562,88.9778,98.5257,99.7177,100.81,101.725,101.896,102.399,102.463,0
183,75.6416,90.6565,98.8811,99.8163,100.398,100.933,100.87,101.276,101.314,0
184,78.3957,93.5638,99.3296,99.8669,100.101,100.629,100.272,100.617,100.628,0
185,62.461,85.2793,94.8966,97.1809,97.6337,99.4824,98.8581,99.6672,99.5046,0
186,59.7159,83.1125,93.706,95.6961,97.4147,98.8483,98.9295,99.1851,99.1705,0
187,81.2243,99.8085,102.596,103.038,102.524,102.669,101.845,102.017,101.922,0
188,72.2088,85.4626,89.3354,89.7573,90.2674,90.7713,90.6282,92.0139,91.9698,0
189,73.8362,98.7214,102.966,102.622,102.589,102.081,101.564,101.709,101.677,0
190,76.6958,87.5506,93.6913,95.0295,95.9627,97.0605,97.351,98.1502,98.0842,0
191,93.4181,100.692,102.907,103.397,103.111,103.498,103.186,103.174,103.08,0
192,61.8823,82.5027,92.2602,93.7757,94.4403,95.6141,95.8374,96.1234,96.1004,0
193,58.3728,79.9405,92.2094,93.7541,94.1764,95.8101,96.0652,96.3425,96.3802,0
194,78.3365,93.8255,100.217,100.764,101.179,101.639,101.519,101.469,101.56,0
195,53.9349,78.6849,94.5815,96.2493,97.9949,99.7244,100.015,100.383,100.498,0
196,91.1969,97.1155,100.559,99.8282,100.447,100.406,100.283,100.329,100.239,0
197,93.4087,95.7724,98.325,98.0914,98.5791,98.6057,98.806,98.7765,98.5965,0
198,68.17,86.1622,94.8839,94.964,96.1955,96.5088,96.8479,97.1764,96.9868,0
199,71.7034,91.7266,98.5481,98.975,99.6979,99.6045,99.623,99.622,99.5863,0
200,56.4459,84.0658,97.5052,98.144,99.1808,99.0356,99.2094,99.621,99.5713,0
201,72.3806,87.1326,91.768,92.3986,93.1332,93.4672,93.6922,93.5642,93.5219,0
202,50.4769,82.0092,98.1284,98.2352,98.8381,97.7824,97.9148,98.3142,98.2266,0
203,42.6579,74.3871,94.9624,97.3623,99.5643,100.629,101.086,101.773,101.79,0
204,56.0778,83.5665,96.8409,97.9852,98.5778,98.5779,98.798,99.2615,99.2352,0
205,51.2047,76.8225,92.0584,94.2858,95.9987,97.1976,97.6189,98.1744,98.2346,1
206,78.7321,104.516,112.634,113.304,113.564,113.308,113.224,113.311,113.355,0
207,57.3925,87.9153,103.086,106.132,108.335,109.392,109.798,110.022,110.033,0
208,65.9052,87.3534,95.5016,96.9904,98.0404,98.6128,98.8647,99.3665,99.3504,0
209,73.4707,88.7862,93.8596,95.0281,95.5313,95.8958,96.0968,96.78,96.859,0
210,87.0954,94.5812,98.8143,99.676,100.115,100.002,100.109,99.706,99.9284,0
211,87.5,97.428,101.747,102.467,102.193,101.245,101.415,100.856,100.999,0
212,73.9826,86.5005,93.9123,93.918,94.5829,94.2123,94.6629,94.3147,94.116,0
213,76.388,92.5166,100.524,100.578,101.211,99.8889,100.131,100.31,99.7765,0
214,102.078,100.85,100.879,100.666,100.823,100.492,100.495,100.374,100.661,0
215,79.5034,93.5068,100.656,100.756,101.017,100.517,100.544,100.399,101.019,1
216,55.7205,79.1268,96.6591,98.4163,100.148,101.516,101.324,101.362,101.21,1
217,62.6892,84.113,98.3341,99.7196,100.596,101.762,101.369,101.227,101.084,0
